Order_ID,Date,Product,Category,Region,Sales,Profit
1001,2025-01-01,Laptop,Electronics,South,50000,8000
1002,2025-01-02,Mobile,Electronics,North,30000,5000
1003,2025-01-03,Chair,Furniture,East,10000,1500
1004,2025-01-04,Table,Furniture,West,15000,2500
1005,2025-01-05,Headphones,Electronics,South,5000,1000
1006,2025-01-06,Monitor,Electronics,East,12000,2000
1007,2025-01-07,Sofa,Furniture,North,25000,4000
1008,2025-01-08,Keyboard,Electronics,West,3000,600
1009,2025-01-09,Mouse,Electronics,South,2000,400
1010,2025-01-10,Desk,Furniture,East,18000,3000
